Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
UAA US Equity,0.79,BR+(Cowen),long,2,1.58,2000,1265.02,1265,19.24,17.66,22.99,01/26/2021,02/11/2021,2.37,4743.75,USD,,1/27/2021,18.31,18.31,17.98,17.35,1/28/2021,18.19,18.19,17.55,17.81,1/29/2021,17.915,17.915,17.66,17.5,2/1/2021,18.03,18.03,17.65,17.99
SIMO US Equity,2.13,QR+,long,2,4.26,2500,587.41,588,56.11,51.85,62.84,02/04/2021,02/11/2021,1.58,3957.89,USD,,2/5/2021,59.96,59.96,56.99,59.59,2/8/2021,64.13,64.13,59.61,63.81,2/9/2021,63.94,63.94,62.57,62.94,2/10/2021,63.2,63.2,63.13,61.51
THCB US Equity,1.71,AH+,long,2,3.42,2000,584.8,570,22.1,18.68,18.88,02/01/2021,02/11/2021,-0.92,-1835.97,USD,,2/2/2021,23.7591,23.7591,22.75,21.4,2/3/2021,23,23,21.67,21.38,2/4/2021,22,22,21.95,21.82,2/5/2021,22.98,22.98,21.83,21.99
GOOG US Equity,66.3,QR+(recon),long,2,132.6,2500,18.85,20,2073.79,1941.19,2095.89,02/03/2021,02/11/2021,0.18,442,USD,,2/4/2021,2078.55,2078.55,2068.89,2062.37,2/5/2021,2102.51,2102.51,2070,2098,2/8/2021,2123.547,2123.547,2105.91,2092.91,2/9/2021,2105.13,2105.13,2078.54,2083.51
WIMI US Equity,1.4,AH+,long,2,2.8,2500,892.86,893,11,8.2,8.67,02/19/2021,02/25/2021,-0.83,-2080.69,USD,,2/22/2021,11.62,11.62,11.06,10.9,2/23/2021,10.3083,10.3083,10.3,9.44,2/24/2021,9.95,9.95,9.505,9.78,2/25/2021,9.7798,9.7798,9.7,8.67
BABA US Equity,7.72,CIR,long,1,7.72,2000,258.93,259,264.49,256.77,240.18,02/01/2021,02/25/2021,-3.15,-6296.29,USD,,2/2/2021,265,265,264.57,254.5,2/3/2021,268.28,268.28,264.7,263.43,2/4/2021,269.99,269.99,269.58,266.96,2/5/2021,266.45,266.45,264.61,265.67
EA US Equity,3.35,BR+(GS),long,1.5,5.03,2500,497.51,497,147.45,142.42,135.24,01/25/2021,02/25/2021,-2.43,-6068.37,USD,,1/26/2021,146.96,146.96,146.36,146.3,1/27/2021,148.93,148.93,145.83,146.23,1/28/2021,146.63,146.63,146.2,143.01,1/29/2021,144.57,144.57,141,143.2
GBTC UV Equity,4.79,TA,long,1.5,7.18,5000,696.04,696,43.95,36.76,45.64,01/14/2021,02/25/2021,0.24,1176.52,USD,,1/15/2021,41.74,41.74,41.74,39.34,1/19/2021,40.98,40.98,40.85,38.055,1/20/2021,37.18,37.18,37.17,35.35,1/21/2021,33.01,33.01,32.59,31.935
ZTS US Equity,3.35,QR+,long,2,6.69,2500,373.61,374,169.66,162.97,156.48,02/16/2021,02/25/2021,-1.97,-4931.08,USD,,2/17/2021,169.85,169.85,165.82,168.9,2/18/2021,170.07,170.07,167.71,167.95,2/19/2021,168.025,168.025,167.88,160,2/22/2021,161.01,161.01,159,160.16
WMT US Equity,2.64,2dt,long,2,5.28,2500,473.1,473,137.69,132.41,131.95,02/19/2021,02/25/2021,-1.09,-2715.02,USD,,2/22/2021,138.34,138.34,137.74,137.69,2/23/2021,137.39,137.39,137.11,135.47,2/24/2021,136.16,136.16,135.87,133.21,2/25/2021,134.01,134.01,133.1,131.95
SPY US Equity,5.69,hedge,short,2,11.38,3000,263.62,263,382.71,394.09,382.33,02/03/2021,02/25/2021,0.03,99.94,USD,,2/4/2021,386.24,386.24,382.96,386.19,2/5/2021,388.47,388.47,388.2,387.71,2/8/2021,390.56,390.56,389.27,390.51,2/9/2021,390.89,390.89,389.61,390.25
SPY US Equity,5.04,hedge,short,1,5.04,2000,396.83,398,390.08,395.12,382.33,02/10/2021,02/25/2021,1.54,3084.5,USD,,2/11/2021,391.69,391.69,391.24,390.71,2/12/2021,392.9,392.9,389.85,392.64,2/16/2021,394.17,394.17,393.96,392.3,2/17/2021,392.66,392.66,390.42,392.39
EA US Equity,4,QR+,long,2,8,2000,250,250,142.18,134.18,135.24,02/03/2021,02/25/2021,-0.87,-1734,USD,,2/4/2021,142.15,142.15,140.56,138.63,2/5/2021,142.47,142.47,139.91,141.22,2/8/2021,142.49,142.49,142,142.46,2/9/2021,148.23,148.23,142.57,146.11
PLTR US Equity,3.21,BR+(GS),long,1.5,4.81,2500,519.21,520,29.32,24.5,23.96,02/17/2021,02/25/2021,-1.11,-2784.7,USD,,2/18/2021,26.31,26.31,24.99,25.17,2/19/2021,29.96,29.96,27.02,29,2/22/2021,30.19,30.19,29.96,28,2/23/2021,27.46,27.46,25.96,26.75
TWLO US Equity,20.27,2dt,long,2,40.54,2500,61.67,62,425,384.46,377.59,02/19/2021,02/25/2021,-1.18,-2939.42,USD,,2/22/2021,430,430,422.2,409.21,2/23/2021,414.44,414.44,388.54,410.59,2/24/2021,414.725,414.725,402.81,408.96,2/25/2021,417.11,417.11,410,377.59
XPEV US Equity,2.83,AH-,short,2,5.66,2900,512.01,500,36.4,42.06,35.4,02/23/2021,02/25/2021,0.17,500,USD,,2/24/2021,39.08,39.08,37.83,38.71,2/25/2021,38.01,38.01,38,35.4,2/26/2021,35.82,35.82,34.98,34.11,3/1/2021,35.82,35.82,35.01,35.5
MSOS US Equity,1.43,x2,long,2,2.86,3000,1048.95,1085,41.71,38.85,48.33,01/06/2021,02/25/2021,2.39,7180.53,USD,,1/7/2021,43.11,43.11,43,41.76,1/8/2021,42.35,42.35,41.96,41.42,1/11/2021,43.34,43.34,41.43,43.14,1/12/2021,43.69,43.69,43.3,43.1
